work,workLabel,authorLabel,genreLabel,countryLabel,durationLabel,publicationDate,performerLabel,partOfLabel
http://www.wikidata.org/entity/Q104977227,Žalm 13,http://www.wikidata.org/.well-known/genid/424b470f6c7e235f32b2b442cd7f5958,,,,,,
http://www.wikidata.org/entity/Q106192741,Your Love (9PM),Topic,EDM,Германия,150,2021-01-15T00:00:00Z,ATB,
http://www.wikidata.org/entity/Q106804567,Lying All the Time,Wally Tax,нидербит,Королевство Нидерландов,192,1966-01-01T00:00:00Z,The Outsiders,
http://www.wikidata.org/entity/Q104977220,Q104977220,http://www.wikidata.org/.well-known/genid/6321fd71fc0d3af898e3b417ec42100e,,,,,,
http://www.wikidata.org/entity/Q104977221,Q104977221,http://www.wikidata.org/.well-known/genid/c32f613e2e20578cb733edc1ec5d393f,,,,,,
http://www.wikidata.org/entity/Q104977226,Q104977226,http://www.wikidata.org/.well-known/genid/4234967cff042172111b6e17bfc8e7e5,,,,,,
http://www.wikidata.org/entity/Q104977224,Q104977224,http://www.wikidata.org/.well-known/genid/78cf4dcc073ad5474d1aece182b231b0,,,,,,
http://www.wikidata.org/entity/Q104977230,Q104977230,http://www.wikidata.org/.well-known/genid/c981305556bcab07dada11b53e356ec2,,,,,,
http://www.wikidata.org/entity/Q104977228,Q104977228,http://www.wikidata.org/.well-known/genid/619036349712ccad1ed3a437d5e6fb38,,,,,,
http://www.wikidata.org/entity/Q104977235,Q104977235,http://www.wikidata.org/.well-known/genid/287ddfc559a49edd061b185b4f2ae54e,,,,,,
http://www.wikidata.org/entity/Q104977232,Q104977232,http://www.wikidata.org/.well-known/genid/6b8e219ca92baef8f8776328f5b66e83,,,,,,
http://www.wikidata.org/entity/Q104977233,Q104977233,http://www.wikidata.org/.well-known/genid/afd30b9b8dc1f4289af03ab76e143d7a,,,,,,
http://www.wikidata.org/entity/Q104977237,Q104977237,http://www.wikidata.org/.well-known/genid/bbdbe7cf2edc358cd18338b07117aaa3,,,,,,
http://www.wikidata.org/entity/Q104977242,Q104977242,http://www.wikidata.org/.well-known/genid/6b0a56a5e6125be37a160e66387bb192,,,,,,
http://www.wikidata.org/entity/Q104977240,Q104977240,http://www.wikidata.org/.well-known/genid/eb5c6cf8d99aac19e6529201d5e32c54,,,,,,
http://www.wikidata.org/entity/Q104977246,Q104977246,http://www.wikidata.org/.well-known/genid/347bda2b21ba98e5128075f7c97a6765,,,,,,
http://www.wikidata.org/entity/Q104977244,Q104977244,http://www.wikidata.org/.well-known/genid/6da317b3c653d62e5a7cb536bdf71af6,,,,,,
http://www.wikidata.org/entity/Q104977250,Q104977250,http://www.wikidata.org/.well-known/genid/95c73681d83053716b59d5b960b0027c,,,,,,
http://www.wikidata.org/entity/Q104977248,Q104977248,http://www.wikidata.org/.well-known/genid/a49b7b9ba5d0df3f1769ebd3e8073e6e,,,,,,
http://www.wikidata.org/entity/Q104977254,Q104977254,http://www.wikidata.org/.well-known/genid/ba81638173e9ee2460fbb9dc2adf721f,,,,,,
http://www.wikidata.org/entity/Q104977255,Q104977255,http://www.wikidata.org/.well-known/genid/077de3f46b58f3f771c23231272860c4,,,,,,
http://www.wikidata.org/entity/Q104977252,Q104977252,http://www.wikidata.org/.well-known/genid/c95e041cd7d68ad727cdf96d2265fa3e,,,,,,
http://www.wikidata.org/entity/Q105925725,What's in a Word,Henry Priestman,ритм-н-блюз,Великобритания,298,1992-01-01T00:00:00Z,The Christians,
http://www.wikidata.org/entity/Q105232023,Q105232023,Тобиас Карлссон,поп-рок,,225,2014-09-12T00:00:00Z,Анук,
http://www.wikidata.org/entity/Q105105106,Q105105106,Луис Агиле,,Испания,,1972-01-01T00:00:00Z,Луис Агиле,
http://www.wikidata.org/entity/Q105527261,Nothing but a Heartache,Tony Waddington,соул,Великобритания,161,1968-11-01T00:00:00Z,The Flirtations,
http://www.wikidata.org/entity/Q105158459,Q105158459,http://www.wikidata.org/.well-known/genid/5df1e31f1811fe9af97d6ee6c47165e4,,,,,,
http://www.wikidata.org/entity/Q105158462,Q105158462,http://www.wikidata.org/.well-known/genid/9289686749001478c2ad3042deda0604,,,,,,
http://www.wikidata.org/entity/Q105158461,Q105158461,http://www.wikidata.org/.well-known/genid/e50509d966042af35b04d399ae545f15,,,,,,
http://www.wikidata.org/entity/Q105158466,Q105158466,http://www.wikidata.org/.well-known/genid/6d73caf1b815ba40916c46740df1bd1c,,,,,,
http://www.wikidata.org/entity/Q105158464,Q105158464,http://www.wikidata.org/.well-known/genid/c732e88958ca7ea57f3956658a801501,,,,,,
http://www.wikidata.org/entity/Q105158470,Q105158470,http://www.wikidata.org/.well-known/genid/ae5f3ec0f3c3c4e0f70e139c78a2681e,,,,,,
http://www.wikidata.org/entity/Q105158471,Q105158471,http://www.wikidata.org/.well-known/genid/893706b585f0b0a647623ef87c011bd7,,,,,,
http://www.wikidata.org/entity/Q105158468,Q105158468,http://www.wikidata.org/.well-known/genid/57e7df7ab694be2522440b578996bcaa,,,,,,
http://www.wikidata.org/entity/Q106380391,Rain,"Д’Арби, Теренс Трент",поп-музыка,США,179,1988-01-01T00:00:00Z,"Д’Арби, Теренс Трент",
http://www.wikidata.org/entity/Q105412153,We Were All Wounded at Wounded Knee,Пэт Вегас,поп-рок,,205,1973-03-30T00:00:00Z,Redbone,
http://www.wikidata.org/entity/Q105870094,Q105870094,http://www.wikidata.org/.well-known/genid/eedecf7721ab3026744382c0bb87d3c2,,,,,,
http://www.wikidata.org/entity/Q105870098,Q105870098,http://www.wikidata.org/.well-known/genid/09c695f5889b6028019e53a5fb691374,,,,,,
http://www.wikidata.org/entity/Q105870103,Q105870103,http://www.wikidata.org/.well-known/genid/0c07db297e8bcacd57c078f02710fb4f,,,,,,
http://www.wikidata.org/entity/Q105870106,Q105870106,http://www.wikidata.org/.well-known/genid/2b13ca3cfc8125d1690fdbced2c4eae1,,,,,,
http://www.wikidata.org/entity/Q105870105,Q105870105,http://www.wikidata.org/.well-known/genid/b71e033be1d89585eac38e7aa277e40a,,,,,,
http://www.wikidata.org/entity/Q105870109,Q105870109,http://www.wikidata.org/.well-known/genid/4a2ed5220a84569fa545f87c90686c35,,,,,,
http://www.wikidata.org/entity/Q106897494,Q106897494,Miguel Wiels,EDM,Бельгия,221,2021-04-29T00:00:00Z,Regi Penxten,
http://www.wikidata.org/entity/Q106897494,Q106897494,Miguel Wiels,поп-музыка,Бельгия,221,2021-04-29T00:00:00Z,Regi Penxten,
http://www.wikidata.org/entity/Q106192741,Your Love (9PM),Topic,EDM,Германия,150,2021-01-15T00:00:00Z,A7S,
http://www.wikidata.org/entity/Q105925725,What's in a Word,Garry Christian,соул,,298,1992-01-01T00:00:00Z,The Christians,
http://www.wikidata.org/entity/Q106940869,Grand Hotel,Гэри Брукер,симфорок,Великобритания,258,1973-05-01T00:00:00Z,Procol Harum,
http://www.wikidata.org/entity/Q106897494,Q106897494,Miguel Wiels,EDM,Бельгия,221,2021-04-29T00:00:00Z,Нильс Дестадсбадер,
http://www.wikidata.org/entity/Q106897494,Q106897494,Miguel Wiels,поп-музыка,Бельгия,221,2021-04-29T00:00:00Z,Нильс Дестадсбадер,
http://www.wikidata.org/entity/Q106288024,Q106288024,http://www.wikidata.org/.well-known/genid/7543fecc324b826ad6d7ada255480f47,,,,,,
http://www.wikidata.org/entity/Q106288025,Q106288025,http://www.wikidata.org/.well-known/genid/d8a75670c33cec1fc319619bbee8100b,,,,,,
http://www.wikidata.org/entity/Q105272920,Ik ga naar Frankrijk,Wim Kerkhof,фолк,Королевство Нидерландов,141,1984-01-01T00:00:00Z,The Amazing Stroopwafels,
http://www.wikidata.org/entity/Q105272920,Ik ga naar Frankrijk,Wim Kerkhof,Недерпоп,Королевство Нидерландов,141,1984-01-01T00:00:00Z,The Amazing Stroopwafels,
http://www.wikidata.org/entity/Q100998629,Q100998629,Адам Вацлав Михна,,,,,,
http://www.wikidata.org/entity/Q106192741,Your Love (9PM),A7S,EDM,Швеция,150,2021-01-15T00:00:00Z,Topic,
http://www.wikidata.org/entity/Q103070027,It Must Have Been Love,Пер Гессле,поп-музыка,Швеция,,1990-05-01T00:00:00Z,Roxette,дискография синглов Roxette
http://www.wikidata.org/entity/Q106288021,Q106288021,Вацлав Ганка,,Австрийская империя,,,,
http://www.wikidata.org/entity/Q105161175,You Don't Have to Stay,Matthijs van Duijvenbode,поп-рок,Королевство Нидерландов,146,2013-04-15T00:00:00Z,Дуви Боб,
http://www.wikidata.org/entity/Q105925725,What's in a Word,Henry Priestman,соул,Великобритания,298,1992-01-01T00:00:00Z,The Christians,
http://www.wikidata.org/entity/Q106960836,Rosanne,Nick Schilder,Недерпоп,Королевство Нидерландов,159,2008-03-07T00:00:00Z,Nick & Simon,
http://www.wikidata.org/entity/Q106192741,Your Love (9PM),A7S,EDM,Швеция,150,2021-01-15T00:00:00Z,ATB,
http://www.wikidata.org/entity/Q106288019,Q106288019,Ян Малат,,Цислейтания,,,,
http://www.wikidata.org/entity/Q106288023,Q106288023,Ян Малат,,Цислейтания,,,,
http://www.wikidata.org/entity/Q106288020,Q106288020,Ян Малат,,Цислейтания,,,,
http://www.wikidata.org/entity/Q106288021,Q106288021,Ян Малат,,Цислейтания,,,,
http://www.wikidata.org/entity/Q106897494,Q106897494,Нильс Дестадсбадер,EDM,Бельгия,221,2021-04-29T00:00:00Z,Regi Penxten,
http://www.wikidata.org/entity/Q106897494,Q106897494,Нильс Дестадсбадер,поп-музыка,Бельгия,221,2021-04-29T00:00:00Z,Regi Penxten,
http://www.wikidata.org/entity/Q105161175,You Don't Have to Stay,Matthijs van Duijvenbode,американа,Королевство Нидерландов,146,2013-04-15T00:00:00Z,Дуви Боб,
http://www.wikidata.org/entity/Q19212319,Ich hab’ ein Weib für mich allein,Роберт Бёрнс,,Королевство Великобритания,,1860-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q19525966,Q19525966,Карел Тума,,Австро-Венгрия,,,,
http://www.wikidata.org/entity/Q17136800,Spanish Stroll,Вилли Девиль,Palingsound,США,,1977-01-01T00:00:00Z,Mink DeVille,
http://www.wikidata.org/entity/Q19176111,Die Hauptmedicin,Роберт Бёрнс,,Королевство Великобритания,,1860-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q20196095,Follow Me,Герберт Крецмер,поп-музыка,ЮАР,,1989-01-01T00:00:00Z,Piet Veerman,
